Código;Espacialidades;População total 2010
3519600;Ibitinga;53158
3519709;Ibiúna;71217
3519808;Icém;7462
3519907;Iepê;7628
3520004;Igaraçu do Tietê;23362
3520103;Igarapava;27952
3520202;Igaratá;8831
3520301;Iguape;28841
3520400;Ilhabela;28196
3520426;Ilha Comprida;9025
3520442;Ilha Solteira;25064
3520509;Indaiatuba;201619
3520608;Indiana;4825
3520707;Indiaporã;3903
3520806;Inúbia Paulista;3630
3520905;Ipaussu;13663
3521002;Iperó;28300
3521101;Ipeúna;6016
3521150;Ipiguá;4463
3521200;Iporanga;4299
3521309;Ipuã;14148
3521408;Iracemápolis;20029
3521507;Irapuã;7275
3521606;Irapuru;7789
3521705;Itaberá;17858
3521804;Itaí;24008
3521903;Itajobi;14556
3522000;Itaju;3246
3522109;Itanhaém;87057
3522158;Itaóca;3228
3522208;Itapecerica da Serra;152614
3522307;Itapetininga;144377
3522406;Itapeva;87753
3522505;Itapevi;200769
3522604;Itapira;68537
3522653;Itapirapuã Paulista;3880
3522703;Itápolis;40051
3522802;Itaporanga;14549
3522901;Itapuí;12173
3523008;Itapura;4357
3523107;Itaquaquecetuba;321770
3523206;Itararé;47934
3523305;Itariri;15471
3523404;Itatiba;101471
3523503;Itatinga;18052
3523602;Itirapina;15524
3523701;Itirapuã;5914
3523800;Itobi;7546
3523909;Itu;154147
3524006;Itupeva;44859
3524105;Ituverava;38695
3524204;Jaborandi;6592
3524303;Jaboticabal;71662
3524402;Jacareí;211214
3524501;Jaci;5657
3524600;Jacupiranga;17208
3524709;Jaguariúna;44311
3524808;Jales;47012
3524907;Jambeiro;5349
3525003;Jandira;108344
3525102;Jardinópolis;37661
3525201;Jarinu;23847
3525300;Jaú;131040
3525409;Jeriquara;3160
3525508;Joanópolis;11768
3525607;João Ramalho;4150
3525706;José Bonifácio;32763
3525805;Júlio Mesquita;4430
3525854;Jumirim;2798
3525904;Jundiaí;370126
3526001;Junqueirópolis;18726
3526100;Juquiá;19246
3526209;Juquitiba;28737
3526308;Lagoinha;4841
3526407;Laranjal Paulista;25251
3526506;Lavínia;8779
3526605;Lavrinhas;6590
3526704;Leme;91756
3526803;Lençóis Paulista;61428
3526902;Limeira;276022
3527009;Lindóia;6712
3527108;Lins;71432
3527207;Lorena;82537
3527256;Lourdes;2128
3527306;Louveira;37125
3527405;Lucélia;19882
3527504;Lucianópolis;2249
3527603;Luís Antônio;11286
3527702;Luiziânia;5030
3527801;Lupércio;4353
3527900;Lutécia;2714
3528007;Macatuba;16259
3528106;Macaubal;7663
3528205;Macedônia;3664
3528304;Magda;3200
3528403;Mairinque;43223
3528502;Mairiporã;80956
3528601;Manduri;8992
3528700;Marabá Paulista;4812
3528809;Maracaí;13332
3528858;Marapoama;2633
3528908;Mariápolis;3916
3529005;Marília;216745
3529104;Marinópolis;2113
3529203;Martinópolis;24219
3529302;Matão;76786
3529401;Mauá;417064
3529500;Mendonça;4640
3529609;Meridiano;3855
3529658;Mesópolis;1886
3529708;Miguelópolis;20451
3529807;Mineiros do Tietê;12038
3529906;Miracatu;20592
3530003;Mira Estrela;2820
3530102;Mirandópolis;27483
3530201;Mirante do Paranapanema;17059
3530300;Mirassol;53792
3530409;Mirassolândia;4295
3530508;Mococa;66290
3530607;Mogi das Cruzes;387779
3530706;Mogi Guaçu;137245
3530805;Mogi Mirim;86505
3530904;Mombuca;3266
3531001;Monções;2132
3531100;Mongaguá;46293
3531209;Monte Alegre do Sul;7152
3531308;Monte Alto;46642
3531407;Monte Aprazível;21746
3531506;Monte Azul Paulista;18931
3531605;Monte Castelo;4063
3531704;Monteiro Lobato;4120
3531803;Monte Mor;48949
3531902;Morro Agudo;29116
3532009;Morungaba;11769
3532058;Motuca;4290
3532108;Murutinga do Sul;4186
3532157;Nantes;2707
3532207;Narandiba;4288
3532306;Natividade da Serra;6678
3532405;Nazaré Paulista;16414
3532504;Neves Paulista;8772
3532603;Nhandeara;10725
3532702;Nipoã;4274
3532801;Nova Aliança;5891
3532827;Nova Campina;8515
3532843;Nova Canaã Paulista;2114
3532868;Nova Castilho;1125
3532900;Nova Europa;9300
3533007;Nova Granada;19180
3533106;Nova Guataporanga;2177
3533205;Nova Independência;3068
3533254;Novais;4592
3533304;Nova Luzitânia;3441
3533403;Nova Odessa;51242
3533502;Novo Horizonte;36593
3533601;Nuporanga;6817
3533700;Ocauçu;4163
3533809;Óleo;2673
3533908;Olímpia;50024
3534005;Onda Verde;3884
3534104;Oriente;6097
3534203;Orindiúva;5675
3534302;Orlândia;39781
3534401;Osasco;666740
3534500;Oscar Bressane;2537
3534609;Osvaldo Cruz;30917
3534708;Ourinhos;103035
3534757;Ouroeste;8405
3534807;Ouro Verde;7800
3534906;Pacaembu;13226
3535002;Palestina;11051
3535101;Palmares Paulista;10934
3535200;Palmeira D'Oeste;9584
3535309;Palmital;21186
3535408;Panorama;14583
3535507;Paraguaçu Paulista;42278
3535606;Paraibuna;17388
3535705;Paraíso;5898
3535804;Paranapanema;17808
3535903;Paranapuã;3815
3536000;Parapuã;10844
3536109;Pardinho;5582
3536208;Pariquera-Açu;18446
3536257;Parisi;2032
3536307;Patrocínio Paulista;13000
3536406;Paulicéia;6339
3536505;Paulínia;82146
3536570;Paulistânia;1779
3536604;Paulo de Faria;8589
3536703;Pederneiras;41497
3536802;Pedra Bela;5780
3536901;Pedranópolis;2558
3537008;Pedregulho;15700
3537107;Pedreira;41558
3537156;Pedrinhas Paulista;2940
3537206;Pedro de Toledo;10204
3537305;Penápolis;58510
3537404;Pereira Barreto;24962
3537503;Pereiras;7454
3537602;Peruíbe;59773
3537701;Piacatu;5287
3537800;Piedade;52143
3537909;Pilar do Sul;26406
3538006;Pindamonhangaba;146995
3538105;Pindorama;15039
3538204;Pinhalzinho;13105
3538303;Piquerobi;3537
3538501;Piquete;14107
3538600;Piracaia;25116
3538709;Piracicaba;364571
3538808;Piraju;28475
3538907;Pirajuí;22704
3539004;Pirangi;10623
3539103;Pirapora do Bom Jesus;15733
3539202;Pirapozinho;24694
3539301;Pirassununga;70081
3539400;Piratininga;12072
3539509;Pitangueiras;35307
3539608;Planalto;4463
3539707;Platina;3192
3539806;Poá;106013
3539905;Poloni;5395
3540002;Pompéia;19964
3540101;Pongaí;3481
3540200;Pontal;40244
3540259;Pontalinda;4074
3540309;Pontes Gestal;2518
3540408;Populina;4223
3540507;Porangaba;8326
3540606;Porto Feliz;48893
3540705;Porto Ferreira;51400
3540754;Potim;19397
3540804;Potirendaba;15449
3540853;Pracinha;2858
3540903;Pradópolis;17377
3541000;Praia Grande;262051
3541059;Pratânia;4599
3541109;Presidente Alves;4123
3541208;Presidente Bernardes;13570
3541307;Presidente Epitácio;41318
3541406;Presidente Prudente;207610
3541505;Presidente Venceslau;37910
3541604;Promissão;35674
3541653;Quadra;3236
3541703;Quatá;12799
3541802;Queiroz;2808
3541901;Queluz;11309
3542008;Quintana;6004
3542107;Rafard;8612
3542206;Rancharia;28804
3542305;Redenção da Serra;3873
3542404;Regente Feijó;18494
3542503;Reginópolis;7323
3542602;Registro;54261
3542701;Restinga;6587
3542800;Ribeira;3358
3542909;Ribeirão Bonito;12135
3543006;Ribeirão Branco;18269
3543105;Ribeirão Corrente;4273
3543238;Ribeirão dos Índios;2187
3543204;Ribeirão do Sul;4446
3543253;Ribeirão Grande;7422
3543303;Ribeirão Pires;113068
3543402;Ribeirão Preto;604682
3543600;Rifaina;3436
3543709;Rincão;10414
3543808;Rinópolis;9935
3543907;Rio Claro;186253
3544004;Rio das Pedras;29501
3544103;Rio Grande da Serra;43974
3544202;Riolândia;10575
3543501;Riversul;6163
3544251;Rosana;19691
3544301;Roseira;9599
3544400;Rubiácea;2729
3544509;Rubinéia;2862
3544608;Sabino;5217
3544707;Sagres;2395
3544806;Sales;5451
3544905;Sales Oliveira;10568
3545001;Salesópolis;15635
3545100;Salmourão;4818
3545159;Saltinho;7059
3545209;Salto;105516
3545308;Salto de Pirapora;40132
3545407;Salto Grande;8787
3545506;Sandovalina;3699
3545605;Santa Adélia;14333
3545704;Santa Albertina;5723
3545803;Santa Bárbara D'Oeste;180009
3546009;Santa Branca;13763
3546108;Santa Clara D'Oeste;2084
3546207;Santa Cruz da Conceição;4002
3546256;Santa Cruz da Esperança;1953
3546306;Santa Cruz das Palmeiras;29932
3546405;Santa Cruz do Rio Pardo;43921
3546504;Santa Ernestina;5568
3546603;Santa Fé do Sul;29239
3546702;Santa Gertrudes;21634
3546801;Santa Isabel;50453
3546900;Santa Lúcia;8248
3547007;Santa Maria da Serra;5413
3547106;Santa Mercedes;2831
3547205;Santana da Ponte Pensa;1641
3547304;Santana de Parnaíba;108813
3547403;Santa Rita D'Oeste;2543
3547502;Santa Rita do Passa Quatro;26478
3547601;Santa Rosa de Viterbo;23862
3547650;Santa Salete;1447
3547700;Santo Anastácio;20475
3547809;Santo André;676407
3547908;Santo Antônio da Alegria;6304
3548005;Santo Antônio de Posse;20650
3548054;Santo Antônio do Aracanguá;7626
3548104;Santo Antônio do Jardim;5943
3548203;Santo Antônio do Pinhal;6486
3548302;Santo Expedito;2803
3548401;Santópolis do Aguapeí;4277
3548500;Santos;419400
3548609;São Bento do Sapucaí;10468
3548708;São Bernardo do Campo;765463
3548807;São Caetano do Sul;149263
3548906;São Carlos;221950
3549003;São Francisco;2793
3549102;São João da Boa Vista;83639
3549201;São João das Duas Pontes;2566
3549250;São João de Iracema;1780
3549300;São João do Pau D'Alho;2103
3549409;São Joaquim da Barra;46512
3549508;São José da Bela Vista;8406
3549607;São José do Barreiro;4077
3549706;São José do Rio Pardo;51900
3549805;São José do Rio Preto;408258
3549904;São José dos Campos;629921
3549953;São Lourenço da Serra;13973
3550001;São Luís do Paraitinga;10397
3550100;São Manuel;38342
3550209;São Miguel Arcanjo;31450
35;São Paulo;41262199
3550308;São Paulo;11253503
3550407;São Pedro;31662
3550506;São Pedro do Turvo;7198
3550605;São Roque;78821
3550704;São Sebastião;73942
3550803;São Sebastião da Grama;12099
3550902;São Simão;14346
3551009;São Vicente;332445
3551108;Sarapuí;9027
3551207;Sarutaiá;3622
3551306;Sebastianópolis do Sul;3031
3551405;Serra Azul;11256
3551504;Serrana;38878
3551603;Serra Negra;26387
3551702;Sertãozinho;110074
3551801;Sete Barras;13005
3551900;Severínia;15501
3552007;Silveiras;5792
3552106;Socorro;36686
3552205;Sorocaba;586625
3552304;Sud Mennucci;7435
3552403;Sumaré;241311
3552551;Suzanápolis;3383
3552502;Suzano;262480
3552601;Tabapuã;11363
3552700;Tabatinga;14686
3552809;Taboão da Serra;244528
3552908;Taciba;5714
3553005;Taguaí;10828
3553104;Taiaçu;5894
3553203;Taiúva;5447
3553302;Tambaú;22406
3553401;Tanabi;24055
3553500;Tapiraí;8012
3553609;Tapiratiba;12737
3553658;Taquaral;2726
3553708;Taquaritinga;53988
3553807;Taquarituba;22291
3553856;Taquarivaí;5151
3553906;Tarabai;6607
3553955;Tarumã;12885
3554003;Tatuí;107326
3554102;Taubaté;278686
3554201;Tejupá;4809
3554300;Teodoro Sampaio;21386
3554409;Terra Roxa;8505
3554508;Tietê;36835
3554607;Timburi;2646
3554656;Torre de Pedra;2254
3554706;Torrinha;9330
3554755;Trabiju;1544
3554805;Tremembé;40984
3554904;Três Fronteiras;5427
3554953;Tuiuti;5930
3555000;Tupã;63476
3555109;Tupi Paulista;14269
3555208;Turiúba;1930
3555307;Turmalina;1978
3555356;Ubarana;5289
3555406;Ubatuba;78801
3555505;Ubirajara;4427
3555604;Uchoa;9471
3555703;União Paulista;1599
3555802;Urânia;8836
3555901;Uru;1251
3556008;Urupês;12714
3556107;Valentim Gentil;11036
3556206;Valinhos;106793
3556305;Valparaíso;22576
3556354;Vargem;8801
3556404;Vargem Grande do Sul;39266
3556453;Vargem Grande Paulista;42997
3556503;Várzea Paulista;107089
3556602;Vera Cruz;10769
3556701;Vinhedo;63611
3556800;Viradouro;17297
3556909;Vista Alegre do Alto;6886
3556958;Vitória Brasil;1737
3557006;Votorantim;108809
3557105;Votuporanga;84692
3557154;Zacarias;2335
